Sex,State,Age Group,Cause of Death,Year,Deaths,Population,Crude Rate
Males,Alabama,00-04 yrs,Suicide Injury,2013,P,150088,.
Males,Alabama,00-04 yrs,Suicide Injury,2014,P,149646,.
Males,Alabama,00-04 yrs,Suicide Injury,2015,P,149737,.
Males,Alabama,00-04 yrs,Suicide Injury,2016,P,149225,.
Males,Alabama,00-04 yrs,Suicide Injury,2017,P,149374,.
Males,Alabama,05-09 yrs,Suicide Injury,2013,P,156532,.
Males,Alabama,05-09 yrs,Suicide Injury,2014,P,156130,.
Males,Alabama,05-09 yrs,Suicide Injury,2015,P,155465,.
Males,Alabama,05-09 yrs,Suicide Injury,2016,P,154948,.
Males,Alabama,05-09 yrs,Suicide Injury,2017,P,153526,.
Males,Alabama,10-14 yrs,Suicide Injury,2013,P,161348,.
Males,Alabama,10-14 yrs,Suicide Injury,2014,P,159835,.
Males,Alabama,10-14 yrs,Suicide Injury,2015,P,157864,.
Males,Alabama,10-14 yrs,Suicide Injury,2016,P,156372,.
Males,Alabama,10-14 yrs,Suicide Injury,2017,11,157478,6.99
Males,Alabama,15-19 yrs,Suicide Injury,2013,20,163362,12.24
Males,Alabama,15-19 yrs,Suicide Injury,2014,18,161937,11.12
Males,Alabama,15-19 yrs,Suicide Injury,2015,23,162531,14.15
Males,Alabama,15-19 yrs,Suicide Injury,2016,29,163010,17.79
Males,Alabama,15-19 yrs,Suicide Injury,2017,19,161735,11.75
Males,Alabama,20-24 yrs,Suicide Injury,2013,47,178838,26.28
Males,Alabama,20-24 yrs,Suicide Injury,2014,33,178039,18.54
Males,Alabama,20-24 yrs,Suicide Injury,2015,46,174138,26.42
Males,Alabama,20-24 yrs,Suicide Injury,2016,53,169655,31.24
Males,Alabama,20-24 yrs,Suicide Injury,2017,60,166366,36.07
Males,Alabama,25-29 yrs,Suicide Injury,2013,51,153572,33.21
Males,Alabama,25-29 yrs,Suicide Injury,2014,43,156378,27.5
Males,Alabama,25-29 yrs,Suicide Injury,2015,52,160443,32.41
Males,Alabama,25-29 yrs,Suicide Injury,2016,62,164694,37.65
Males,Alabama,25-29 yrs,Suicide Injury,2017,53,167743,31.6
Males,Alabama,30-34 yrs,Suicide Injury,2013,46,151254,30.41
Males,Alabama,30-34 yrs,Suicide Injury,2014,53,150899,35.12
Males,Alabama,30-34 yrs,Suicide Injury,2015,42,149404,28.11
Males,Alabama,30-34 yrs,Suicide Injury,2016,47,147947,31.77
Males,Alabama,30-34 yrs,Suicide Injury,2017,51,147599,34.55
Males,Alabama,35-39 yrs,Suicide Injury,2013,38,141944,26.77
Males,Alabama,35-39 yrs,Suicide Injury,2014,53,142082,37.3
Males,Alabama,35-39 yrs,Suicide Injury,2015,46,143755,32
Males,Alabama,35-39 yrs,Suicide Injury,2016,45,145766,30.87
Males,Alabama,35-39 yrs,Suicide Injury,2017,59,146855,40.18
Males,Alabama,40-44 yrs,Suicide Injury,2013,38,154261,24.63
Males,Alabama,40-44 yrs,Suicide Injury,2014,65,151842,42.81
Males,Alabama,40-44 yrs,Suicide Injury,2015,50,148109,33.76
Males,Alabama,40-44 yrs,Suicide Injury,2016,42,142573,29.46
Males,Alabama,40-44 yrs,Suicide Injury,2017,55,140254,39.21
Males,Alabama,45-49 yrs,Suicide Injury,2013,49,155908,31.43
Males,Alabama,45-49 yrs,Suicide Injury,2014,48,152299,31.52
Males,Alabama,45-49 yrs,Suicide Injury,2015,49,150830,32.49
Males,Alabama,45-49 yrs,Suicide Injury,2016,52,152055,34.2
Males,Alabama,45-49 yrs,Suicide Injury,2017,61,152753,39.93
Males,Alabama,50-54 yrs,Suicide Injury,2013,62,167659,36.98
Males,Alabama,50-54 yrs,Suicide Injury,2014,51,167132,30.51
Males,Alabama,50-54 yrs,Suicide Injury,2015,56,164829,33.97
Males,Alabama,50-54 yrs,Suicide Injury,2016,72,160962,44.73
Males,Alabama,50-54 yrs,Suicide Injury,2017,58,156734,37.01
Males,Alabama,55-59 yrs,Suicide Injury,2013,59,159530,36.98
Males,Alabama,55-59 yrs,Suicide Injury,2014,51,160645,31.75
Males,Alabama,55-59 yrs,Suicide Injury,2015,54,161966,33.34
Males,Alabama,55-59 yrs,Suicide Injury,2016,49,162239,30.2
Males,Alabama,55-59 yrs,Suicide Injury,2017,63,161580,38.99
Males,Alabama,60-64 yrs,Suicide Injury,2013,36,137064,26.27
Males,Alabama,60-64 yrs,Suicide Injury,2014,48,138973,34.54
Males,Alabama,60-64 yrs,Suicide Injury,2015,43,141628,30.36
Males,Alabama,60-64 yrs,Suicide Injury,2016,38,144471,26.3
Males,Alabama,60-64 yrs,Suicide Injury,2017,53,147832,35.85
Males,Alabama,65-69 yrs,Suicide Injury,2013,31,112278,27.61
Males,Alabama,65-69 yrs,Suicide Injury,2014,28,116880,23.96
Males,Alabama,65-69 yrs,Suicide Injury,2015,44,121581,36.19
Males,Alabama,65-69 yrs,Suicide Injury,2016,41,126570,32.39
Males,Alabama,65-69 yrs,Suicide Injury,2017,39,125004,31.2
Males,Alabama,70-74 yrs,Suicide Injury,2013,26,80597,32.26
Males,Alabama,70-74 yrs,Suicide Injury,2014,27,83474,32.35
Males,Alabama,70-74 yrs,Suicide Injury,2015,22,85757,25.65
Males,Alabama,70-74 yrs,Suicide Injury,2016,31,87547,35.41
Males,Alabama,70-74 yrs,Suicide Injury,2017,47,95008,49.47
Males,Alabama,75-79 yrs,Suicide Injury,2013,30,55669,53.89
Males,Alabama,75-79 yrs,Suicide Injury,2014,19,57236,33.2
Males,Alabama,75-79 yrs,Suicide Injury,2015,17,58413,29.1
Males,Alabama,75-79 yrs,Suicide Injury,2016,25,59914,41.73
Males,Alabama,75-79 yrs,Suicide Injury,2017,29,62262,46.58
Males,Alabama,80-84 yrs,Suicide Injury,2013,14,35575,39.35
Males,Alabama,80-84 yrs,Suicide Injury,2014,14,36232,38.64
Males,Alabama,80-84 yrs,Suicide Injury,2015,20,36944,54.14
Males,Alabama,80-84 yrs,Suicide Injury,2016,18,37887,47.51
Males,Alabama,80-84 yrs,Suicide Injury,2017,12,38581,31.1
Males,Alabama,85+ yrs,Suicide Injury,2013,18,25846,69.64
Males,Alabama,85+ yrs,Suicide Injury,2014,13,26728,48.64
Males,Alabama,85+ yrs,Suicide Injury,2015,22,27647,79.57
Males,Alabama,85+ yrs,Suicide Injury,2016,16,28354,56.43
Males,Alabama,85+ yrs,Suicide Injury,2017,16,29152,54.88
Females,Alabama,00-04 yrs,Suicide Injury,2013,P,144453,.
Females,Alabama,00-04 yrs,Suicide Injury,2014,P,143906,.
Females,Alabama,00-04 yrs,Suicide Injury,2015,P,144167,.
Females,Alabama,00-04 yrs,Suicide Injury,2016,P,144356,.
Females,Alabama,00-04 yrs,Suicide Injury,2017,P,144180,.
Females,Alabama,05-09 yrs,Suicide Injury,2013,P,150363,.
Females,Alabama,05-09 yrs,Suicide Injury,2014,P,150151,.
Females,Alabama,05-09 yrs,Suicide Injury,2015,P,149828,.
Females,Alabama,05-09 yrs,Suicide Injury,2016,P,148867,.
Females,Alabama,05-09 yrs,Suicide Injury,2017,P,147759,.
Females,Alabama,10-14 yrs,Suicide Injury,2013,P,155424,.
Females,Alabama,10-14 yrs,Suicide Injury,2014,P,154020,.
Females,Alabama,10-14 yrs,Suicide Injury,2015,P,151758,.
Females,Alabama,10-14 yrs,Suicide Injury,2016,P,150277,.
Females,Alabama,10-14 yrs,Suicide Injury,2017,P,150981,.
Females,Alabama,15-19 yrs,Suicide Injury,2013,P,157564,.
Females,Alabama,15-19 yrs,Suicide Injury,2014,P,156559,.
Females,Alabama,15-19 yrs,Suicide Injury,2015,P,157262,.
Females,Alabama,15-19 yrs,Suicide Injury,2016,P,158040,.
Females,Alabama,15-19 yrs,Suicide Injury,2017,P,157072,.
Females,Alabama,20-24 yrs,Suicide Injury,2013,P,177722,.
Females,Alabama,20-24 yrs,Suicide Injury,2014,P,176002,.
Females,Alabama,20-24 yrs,Suicide Injury,2015,10,171692,5.82
Females,Alabama,20-24 yrs,Suicide Injury,2016,P,166243,.
Females,Alabama,20-24 yrs,Suicide Injury,2017,11,163231,6.74
Females,Alabama,25-29 yrs,Suicide Injury,2013,P,157768,.
Females,Alabama,25-29 yrs,Suicide Injury,2014,10,159954,6.25
Females,Alabama,25-29 yrs,Suicide Injury,2015,12,163479,7.34
Females,Alabama,25-29 yrs,Suicide Injury,2016,P,167462,.
Females,Alabama,25-29 yrs,Suicide Injury,2017,P,170408,.
Females,Alabama,30-34 yrs,Suicide Injury,2013,P,156459,.
Females,Alabama,30-34 yrs,Suicide Injury,2014,11,156614,7.02
Females,Alabama,30-34 yrs,Suicide Injury,2015,12,155604,7.71
Females,Alabama,30-34 yrs,Suicide Injury,2016,15,155019,9.68
Females,Alabama,30-34 yrs,Suicide Injury,2017,12,154552,7.76
Females,Alabama,35-39 yrs,Suicide Injury,2013,12,149373,8.03
Females,Alabama,35-39 yrs,Suicide Injury,2014,13,150303,8.65
Females,Alabama,35-39 yrs,Suicide Injury,2015,10,151881,6.58
Females,Alabama,35-39 yrs,Suicide Injury,2016,14,154121,9.08
Females,Alabama,35-39 yrs,Suicide Injury,2017,13,155256,8.37
Females,Alabama,40-44 yrs,Suicide Injury,2013,24,161337,14.88
Females,Alabama,40-44 yrs,Suicide Injury,2014,11,159635,6.89
Females,Alabama,40-44 yrs,Suicide Injury,2015,20,156132,12.81
Females,Alabama,40-44 yrs,Suicide Injury,2016,15,151152,9.92
Females,Alabama,40-44 yrs,Suicide Injury,2017,21,149430,14.05
