0;Henry County Day Treatment;403 Dothan Road;Abbeville, AL 36310;(801) 951-4357;Intake: (334) 585-6864;;;;
1;SpectraCare;Henry County Clinic;219 Dothan Road;Abbeville, AL 36310;(334) 585-5331;Intake: (334) 794-0731;;;
2;Rehab Day Montezuma Complex;Covington County;205 Academy Drive;Andalusia, AL 36420;(334) 428-5050x70553;Intake: (334) 428-5050;;;
3;South Central Alabama CMHC;19815 Bay Branch Road;Andalusia, AL 36420;(334) 222-2523;Intake: (877) 530-0002;;;;
4;Grandview Behavioral Health Center;1302 Noble Street;Suite 3-F;Anniston, AL 36201;(256) 237-4755;Intake: (256) 546-9265x2083;;;
5;Highland Health Systems;331 East 8th Street;Anniston, AL 36207;(256) 236-3403;;;;;
6;Northeast Alabama Regional Medical Ctr;Behavioral Health;400 East 10th Street;Anniston, AL 36207;(256) 235-5121;Intakes: (256) 235-5564 (256) 741-6482;;;
7;Cottonwood Specialized Care CRF;1539 Sweetie Smith Road;Ashford, AL 36312;(334) 691-8030;;;;;
9;MHCNCA Inc;Athens Limestone Counseling Center;1307 East Elm Street;Athens, AL 35611;(256) 232-3661;Intake: (256) 355-6091;;;
10;Cherokee Etowah Dekalb CMHC;425 5th Avenue NW;Attalla, AL 35954;(256) 492-7800;;;;;
11;Baldwin County CMHC;2009 Medical Center Drive;Bay Minette, AL 36507;(251) 937-2010;Intakes: (251) 450-2211 (888) 335-3044;;;;
12;North Baldwin Infirmary;Senior Behavioral Health;1815 Hand Avenue;Bay Minette, AL 36507;(251) 580-1770;;;;
13;UAB Medical West;995 9th Avenue SW;Bessemer, AL 35022;(205) 481-7000;Intakes: (205) 481-7145 (205) 481-7661;;;;
14;Birmingham VAMC;Mental Hygiene (116A);700 19th Street South;Birmingham, AL 35233;(205) 933-8101;Intake: (205) 933-8101x5508;;;
15;Capitol Care South;Adult Outpatient Services;2619 Commerce Boulevard;Birmingham, AL 35210;(205) 956-2000;;;;
16;Eastside CMHC;129 East Park Circle;Birmingham, AL 35235;(205) 836-7283;;;;;
17;Gateway;1401 20th Street South;Birmingham, AL 35205;(205) 510-2600;Intake: (205) 510-2755;;;;
18;Gateway;5201 Airport Highway;Birmingham, AL 35201;(205) 510-2600;Intake: (205) 510-2755;;;;
19;Glenwood Inc;Main Campus;150 Glenwood Lane;Birmingham, AL 35242;(205) 969-2880;Intake: (205) 795-3203;;;
20;Grandview Medical Center;Behavioral Health;3690 Grandview Parkway;Birmingham, AL 35243;(205) 971-6100;;;;
21;Home9/Eastlake;7744 1st Avenue South;Birmingham, AL 35206;(205) 836-6538;Intake: (205) 595-4555;;;;
