,Name,City,State,Zip,Lat,Lon
0,Henry County Day Treatment,Abbeville,AL,36310,31.595148,-85.20885200000001
1,SpectraCare,Abbeville,AL,36310,31.595148,-85.20885200000001
2,Rehab Day Montezuma Complex,Andalusia,AL,36420,31.172401,-86.565077
3,South Central Alabama CMHC,Andalusia,AL,36420,31.172401,-86.565077
4,Grandview Behavioral Health Center,Anniston,AL,36201,33.649159999999995,-85.879642
5,Highland Health Systems,Anniston,AL,36207,33.680316999999995,-85.709537
6,Northeast Alabama Regional Medical Ctr,Anniston,AL,36207,33.680316999999995,-85.709537
7,Cottonwood Specialized Care CRF,Ashford,AL,36312,31.170833000000002,-85.23682600000001
8,MHCNCA Inc,Athens,AL,35611,34.773833,-87.08414499999999
9,Cherokee Etowah Dekalb CMHC,Attalla,AL,35954,34.089754,-86.057449
10,Baldwin County CMHC,Bay Minette,AL,36507,30.858609,-87.742025
11,North Baldwin Infirmary,Bay Minette,AL,36507,30.858609,-87.742025
12,UAB Medical West,Bessemer,AL,35022,33.322849,-86.971458
13,Birmingham VAMC,Birmingham,AL,35233,33.508748,-86.801964
14,Capitol Care South,Birmingham,AL,35210,33.541558,-86.66946
15,Eastside CMHC,Birmingham,AL,35235,33.624485,-86.64790699999999
16,Gateway,Birmingham,AL,35205,33.494995,-86.808077
17,Glenwood Inc,Birmingham,AL,35242,33.425247,-86.672084
18,Grandview Medical Center,Birmingham,AL,35243,33.440917999999996,-86.741508
19,Home9/Eastlake,Birmingham,AL,35206,33.569909,-86.712978
20,JBS Mental Health Authority,Birmingham,AL,35213,33.506671000000004,-86.744458
21,JBS Mental Health Authority,Birmingham,AL,35222,33.523711999999996,-86.770115
22,Princeton Baptist Medical Center,Birmingham,AL,35211,33.455086,-86.856459
23,Rehabilitation Day Program,Birmingham,AL,35218,33.507667,-86.89399499999999
24,Resident Care Home Specialized Behav,Birmingham,AL,35218,33.507667,-86.89399499999999
25,Western Mental Health Center Inc,Birmingham,AL,35218,33.507667,-86.89399499999999
