State,"Total, all households",Mean income
Alabama,1821210,57655
Alaska,248248,82091
Arizona,2326468,67436
Arkansas,1117154,53253
California,12392852,83483
Colorado,1918959,75264
Connecticut,1359218,94306
Delaware,331639,74703
District of Columbia,257317,91778
Florida,7152844,66323
Georgia,3468704,66620
Hawaii,442267,83037
Idaho,570283,59460
Illinois,4769951,75140
Indiana,2465402,61285
Iowa,1215954,61833
Kansas,1101672,64994
Kentucky,1676708,56009
Louisiana,1641165,60003
Maine,551125,60036
Maryland,2121047,91454
Massachusetts,2512552,85897
Michigan,3843997,63692
Minnesota,2085917,73561
Mississippi,1081052,52484
Missouri,2349955,61238
Montana,401328,56886
Nebraska,711771,62707
Nevada,979621,72112
New Hampshire,513804,79105
New Jersey,3176069,93475
New Mexico,756112,59223
New York,7205740,80374
North Carolina,3626179,61781
North Dakota,276642,60581
Ohio,4552270,62205
Oklahoma,1421705,58099
Oregon,1499267,64554
Pennsylvania,4940581,67282
Rhode Island,410305,71934
South Carolina,1741994,58941
South Dakota,315468,59729
Tennessee,2443475,59212
Texas,8539206,68700
Utah,859158,70375
Vermont,256612,65886
Virginia,2974481,82584
Washington,2577375,74331
West Virginia,740874,51064
Wisconsin,2274611,65273
Wyoming,217688,68283
Puerto Rico,1227039,29325
