Sex,Region,Year,Deaths,Population,Crude Rate
Males,Midwest,2013,7090,33280975,21.3
Females,Midwest,2013,1851,34253476,5.4
,Midwest,2013,8941,67534451,13.24
Males,Midwest,2014,7138,33388290,21.38
Females,Midwest,2014,1916,34331830,5.58
,Midwest,2014,9054,67720120,13.37
Males,Midwest,2015,7423,33465665,22.18
Females,Midwest,2015,2049,34373522,5.96
,Midwest,2015,9472,67839187,13.96
Males,Midwest,2016,7684,33548944,22.9
Females,Midwest,2016,2094,34429224,6.08
,Midwest,2016,9778,67978168,14.38
Males,Midwest,2017,8204,33659324,24.37
Females,Midwest,2017,2071,34520027,6
,Midwest,2017,10275,68179351,15.07
,Midwest,,47520,339251277,14.01
