State,Total population,Male Percent,Female Percent,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),Under 18 years,18 years and over,21 years and over,62 years and over,65 years and over,Race White,Race Black or African American,Race American Indian and Alaska Native,Race Asian,Race Native Hawaiian and Other Pacific Islander,Race Some other race,Total population - Hispanic or Latino (of any race)
Alabama,4850771,48.5,51.5,6,6.3,6.5,6.7,7,12.9,12.4,13.4,6.9,6.3,9.3,4.7,1.7,38.7,22.7,77.3,73.1,19.4,15.7,68.4,26.5,0.5,1.3,0,1.4,4.1
Alaska,738565,52.3,47.7,7.3,7,6.8,6.5,7.9,16,12.5,13,7,5.8,6.9,2.4,0.8,33.9,25.2,74.8,70.8,13.3,10.1,65.3,3.2,14.2,6.2,1.2,1.4,6.8
Arizona,6809946,49.7,50.3,6.4,6.7,6.7,6.8,7.1,13.5,12.4,12.3,6.1,5.8,9.5,4.9,1.8,37.2,23.8,76.2,71.9,19.7,16.2,77.5,4.3,4.4,3.1,0.2,7,30.9
Arkansas,2977944,49.1,50.9,6.4,6.7,6.6,6.7,6.9,13,12.3,12.8,6.5,6,9.3,4.8,1.9,37.9,23.7,76.3,72.1,19.5,16,77.3,15.4,0.7,1.4,0.2,2.5,7.2
California,38982847,49.7,50.3,6.4,6.5,6.5,6.7,7.3,14.9,13.3,13.3,6.3,5.5,7.6,3.9,1.8,36.1,23.4,76.6,72.4,16.4,13.2,60.6,5.8,0.7,14.1,0.4,13.7,38.8
Colorado,5436519,50.2,49.8,6.1,6.5,6.6,6.4,6.9,15.2,13.5,13.2,6.6,6,8,3.6,1.5,36.5,23,77,73,16.5,13,84.2,4.1,0.9,3,0.2,4.1,21.3
Connecticut,3594478,48.8,51.2,5.2,5.7,6.3,6.9,6.8,12.2,12.1,14.9,7.4,6.4,8.9,4.6,2.5,40.8,21.2,78.8,74.4,19.7,16,76.7,10.5,0.3,4.4,0,5.1,15.4
Delaware,943732,48.4,51.6,5.9,6,6.1,6.4,6.6,13.3,11.7,13.6,7.1,6.4,10.1,4.9,1.9,39.8,21.6,78.4,74.2,20.8,17,69.1,21.9,0.4,3.9,0,2,9
District of Columbia,672391,47.4,52.6,6.5,5,3.8,5.5,8.2,23.3,14.2,11.4,5.4,4.9,6.8,3.4,1.7,33.9,17.6,82.4,77.5,14.8,11.9,40.7,47.7,0.3,3.8,0,4.6,10.7
Florida,20278447,48.9,51.1,5.5,5.6,5.7,5.9,6.4,12.8,12.2,13.6,6.8,6.3,10.7,6.1,2.6,41.8,20.3,79.7,76,23.1,19.4,75.7,16.1,0.3,2.7,0.1,2.6,24.7
Georgia,10201635,48.7,51.3,6.4,6.9,7,7,7.1,13.7,13.5,13.8,6.3,5.5,7.9,3.6,1.3,36.4,24.5,75.5,71.2,15.9,12.7,59.4,31.3,0.3,3.8,0.1,2.8,9.3
Hawaii,1421658,50.2,49.8,6.4,6,5.9,5.5,7,14.4,12.5,12.6,6.7,6.2,9.4,4.7,2.7,38.8,21.6,78.4,74.9,20.4,16.7,25.1,1.8,0.2,38,10,1,10.2
Idaho,1657375,50.1,49.9,6.9,7.4,7.5,7.1,6.8,13,12.3,12,6.3,6,8.8,4.2,1.6,35.9,26.2,73.8,69.6,18.1,14.6,91,0.7,1.3,1.4,0.1,2.9,12.2
Illinois,12854526,49.1,50.9,6.1,6.3,6.6,6.7,6.9,13.9,12.9,13.5,6.8,6,8.1,4.3,2,37.7,23,77,72.9,17.8,14.4,71.9,14.3,0.2,5.2,0,6,16.8
Indiana,6614418,49.3,50.7,6.3,6.7,6.7,6.9,7.3,12.8,12.4,13.3,6.8,6.1,8.4,4.3,1.9,37.5,23.9,76.1,71.8,18.2,14.6,83.9,9.3,0.2,2.1,0,2.2,6.7
Iowa,3118102,49.6,50.4,6.3,6.6,6.6,6.9,7.3,12.5,11.8,12.8,6.8,6.3,8.6,4.9,2.5,38.1,23.4,76.6,72.1,19.7,16.1,90.6,3.4,0.3,2.3,0.1,1.3,5.7
Kansas,2903820,49.8,50.2,6.8,7,6.8,6.9,7.5,13.2,12,12.4,6.6,6,8.1,4.4,2.1,36.3,24.7,75.3,70.9,18.2,14.7,84.9,5.8,0.8,2.8,0.1,2.2,11.5
Kentucky,4424376,49.3,50.7,6.2,6.4,6.4,6.5,7,12.9,12.6,13.6,7,6.2,9,4.5,1.7,38.6,22.9,77.1,73,18.8,15.2,87.3,8,0.2,1.3,0.1,0.9,3.4
Louisiana,4663461,48.9,51.1,6.7,6.7,6.6,6.5,7.3,14.4,12.3,12.9,6.7,6,8.3,4.1,1.6,36.4,23.9,76.1,72,17.5,14.1,62.4,32.2,0.6,1.7,0,1.2,5
