Sex,Region,Year,Deaths,Population,Crude Rate
Males,West,2013,8034,36980201,21.73
Females,West,2013,2459,37249852,6.6
,West,2013,10493,74230053,14.14
Males,West,2014,8541,37373185,22.85
Females,West,2014,2544,37626176,6.76
,West,2014,11085,74999361,14.78
Males,West,2015,8574,37795118,22.69
Females,West,2015,2739,38027668,7.2
,West,2015,11313,75822786,14.92
Males,West,2016,8874,38211471,23.22
Females,West,2016,2642,38433479,6.87
,West,2016,11516,76644950,15.03
Males,West,2017,9269,38601961,24.01
Females,West,2017,2741,38808661,7.06
,West,2017,12010,77410622,15.51
,West,,56417,379107772,14.88
